date,open,high,low,close,volume,Dividends,Stock Splits,ticker
2025-05-23,622.0592607315479,630.4829920563529,620.7134837844421,625.1097412109375,8454100,0.0,0.0,META
2025-05-27,633.4338437693247,641.080033825353,630.7821431595195,640.3223876953125,9508400,0.0,0.0,META
2025-05-28,640.6014366817531,648.8557144048555,640.5516043549418,641.5784301757812,9042900,0.0,0.0,META
2025-05-29,649.6233948044612,651.288184072806,637.5111569296643,643.0438842773438,8858800,0.0,0.0,META
2025-05-30,640.5018468251236,647.3903301879006,630.812104900707,645.476318359375,16241000,0.0,0.0,META
2025-06-02,642.3859148545713,671.166122188044,642.256314296396,668.8134765625,15766300,0.0,0.0,META
2025-06-03,669.3617309927172,673.4788911194719,662.9617149147357,664.7760009765625,11585000,0.0,0.0,META
2025-06-04,667.238420321753,686.8572081679845,666.4907528237472,685.8104858398438,14031900,0.0,0.0,META
2025-06-05,689.5088052796527,692.2203773049333,680.1280985848566,682.49072265625,13083100,0.0,0.0,META
2025-06-06,694.0048506531133,700.6242144400436,689.7182360915449,695.5401000976562,11728000,0.0,0.0,META
2025-06-09,696.2877068677252,702.9967560909232,691.7817452730692,691.9013671875,12773200,0.0,0.0,META
2025-06-10,699.1687320280228,701.0428899746662,689.4092014623567,700.2155151367188,10850100,0.0,0.0,META
2025-06-11,701.5213833723484,706.6653082639799,689.8378026054309,691.9811401367188,9582500,0.0,0.0,META
2025-06-12,691.1438023170118,693.2173504861605,684.8634076906623,691.20361328125,7322700,0.0,0.0,META
2025-06-13,685.810495147385,692.4099021517203,678.8920760381308,680.7462768554688,9274400,0.0,0.0,META
2025-06-16,697.6914734952734,705.4931583928874,691.8851025594383,700.4749145507812,13720300,0.525,0.0,META
2025-06-17,700.3551564610796,704.3158251974513,694.4290719322615,695.5963134765625,10066100,0.0,0.0,META
2025-06-18,696.5440968778995,699.9461410540869,693.2718138640435,694.1397705078125,10068300,0.0,0.0,META
2025-06-20,699.1081963012703,700.1756966800983,677.0799110041145,680.7512817382812,22538600,0.0,0.0,META
2025-06-23,682.0881149489193,697.4121118139869,677.1596869463602,696.8933715820312,11080100,0.0,0.0,META
2025-06-24,703.2384409706419,711.5189816994163,700.4649253469852,710.5313110351562,13823200,0.0,0.0,META
2025-06-25,711.6486741856498,714.9010456370576,703.7272754411318,707.01953125,9320400,0.0,0.0,META
2025-06-26,712.6862960420309,726.5138085370661,709.3840535476093,724.3888549804688,13964800,0.0,0.0,META
2025-06-27,724.8177454897765,733.7068421056694,724.1592578043636,731.9110717773438,18775700,0.0,0.0,META
2025-06-30,742.8054817668852,746.1476691378697,732.5296271967599,736.3606567382812,15402100,0.0,0.0,META
2025-07-01,735.1535081071979,736.0214648412638,713.6938959127618,717.5348510742188,13431200,0.0,0.0,META
2025-07-02,713.6540184351263,718.6123446328994,711.1299169276585,711.8981323242188,9336700,0.0,0.0,META
2025-07-03,724.9075473573512,727.3219211703462,712.7461059372963,717.3253784179688,8601700,0.0,0.0,META
2025-07-07,715.9186273791692,725.29662738586,711.8382444141125,716.6668701171875,9457100,0.0,0.0,META
2025-07-08,719.8793609595846,721.2161872254258,713.1351899702655,718.9814453125,7770700,0.0,0.0,META
2025-07-09,721.0266226856489,735.8019810021477,721.0266226856489,731.0631103515625,11418000,0.0,0.0,META
2025-07-10,729.8359096434607,734.0759515650559,717.9138972384281,725.5360107421875,9913600,0.0,0.0,META
2025-07-11,720.8071559255932,723.4608966552098,708.0371589748221,715.828857421875,10873900,0.0,0.0,META
2025-07-14,715.9186673172987,726.294324886829,714.8711396040657,719.2308959960938,8939400,0.0,0.0,META
2025-07-15,722.2038798413794,722.7724907094275,708.1568531421487,708.7255249023438,11529500,0.0,0.0,META
2025-07-16,711.6985757605347,712.2971456091764,697.6316362880923,701.2630615234375,13067600,0.0,0.0,META
2025-07-17,702.7395996705828,704.2460714207873,695.4766277838654,699.7665405273438,11803300,0.0,0.0,META
2025-07-18,700.5447529444856,703.0588680042227,690.0294703606638,702.6298828125,12779800,0.0,0.0,META
2025-07-21,705.1439727205105,715.3200865485861,704.1064313362314,711.2994995117188,9404400,0.0,0.0,META
2025-07-22,714.5119719450398,714.9209845240272,699.7665722015134,703.1586303710938,8921100,0.0,0.0,META
2025-07-23,704.7150127643985,712.955669824656,703.2783841619789,711.9081420898438,8771600,0.0,0.0,META
2025-07-24,715.3699112663372,721.9245248031309,712.3270697155897,713.1251831054688,10920800,0.0,0.0,META
2025-07-25,715.2402488643816,718.9615509303371,710.2320520647048,711.0101928710938,8271700,0.0,0.0,META
2025-07-28,713.5243091595448,723.0419351595109,711.0101939967738,715.9486083984375,8715700,0.0,0.0,META
