date,open,high,low,close,volume,Dividends,Stock Splits,ticker
2024-05-23,175.61853049301604,176.78885054238378,171.53229263275466,172.12738037109375,21024900,0.0,0.0,GOOGL
2024-05-24,173.54561428063982,174.32914680757452,172.22651500986282,173.5555419921875,16579400,0.0,0.0,GOOGL
2024-05-28,173.01999755281523,175.8168887472588,172.94065151179802,174.95401000976562,20572200,0.0,0.0,GOOGL
2024-05-29,173.99195085751208,175.39039638067896,173.28777937305267,174.45809936523438,23388700,0.0,0.0,GOOGL
2024-05-30,173.76383985817733,173.78368015073974,170.38178882747087,170.6991729736328,22931500,0.0,0.0,GOOGL
2024-05-31,170.4512148865134,171.6413751155462,168.05105413674661,171.08596801757812,37638900,0.0,0.0,GOOGL
2024-06-03,171.12563247401937,173.09932530985793,169.75695502874458,171.75047302246094,27459100,0.0,0.0,GOOGL
2024-06-04,171.85958824102724,172.42492310208857,170.480982952228,172.3654022216797,26879600,0.0,0.0,GOOGL
2024-06-05,173.76382171770578,175.20193253730815,172.50422811140098,173.97210693359375,22068500,0.0,0.0,GOOGL
2024-06-06,174.45811286491957,175.69786641038863,174.3093484929474,175.28131103515625,23251000,0.0,0.0,GOOGL
2024-06-07,175.5986726101232,176.41194296176616,172.87121516107322,173.0299072265625,19661400,0.0,0.0,GOOGL
2024-06-10,173.7349167054555,175.81016010229428,171.5405100661831,173.77462768554688,23726700,0.2,0.0,GOOGL
2024-06-11,174.97607487552963,175.59169348463175,172.54337230776866,175.3732452392578,21540600,0.0,0.0,GOOGL
2024-06-12,176.99176326604527,179.13651982603324,174.86686977172752,176.53500366210938,27864700,0.0,0.0,GOOGL
2024-06-13,174.86685975128964,175.49241749987627,173.64554642645388,173.92356872558594,20913300,0.0,0.0,GOOGL
2024-06-14,172.99018739624864,175.8101362841722,172.92067425165644,175.5420379638672,18063600,0.0,0.0,GOOGL
2024-06-17,174.2214575995777,177.10098082049785,173.57603677345472,175.9888916015625,19618500,0.0,0.0,GOOGL
2024-06-18,175.88958192240335,176.13781719186318,172.87104771224654,173.8540496826172,21869900,0.0,0.0,GOOGL
2024-06-20,174.13206841253606,176.03851342488448,173.7547611134038,175.05551147460938,20160100,0.0,0.0,GOOGL
2024-06-21,175.75055979188994,179.57338876304848,175.3633134017814,178.36199951171875,57759000,0.0,0.0,GOOGL
2024-06-24,178.8882466857276,179.61308934299385,177.4087592034553,177.9548797607422,18298000,0.0,0.0,GOOGL
2024-06-25,178.35206806848578,182.98910099326696,178.15348288701358,182.73094177246094,23130200,0.0,0.0,GOOGL
2024-06-26,181.34080929470304,183.20752796508148,181.19185906258562,182.5819854736328,19839000,0.0,0.0,GOOGL
2024-06-27,182.8798679380617,184.7366779293804,182.72100889129027,184.1011962890625,18848900,0.0,0.0,GOOGL
2024-06-28,183.01887663600002,183.82315635258536,180.67553547170056,180.8641815185547,29156600,0.0,0.0,GOOGL
2024-07-01,181.7379989393426,182.58200489120532,180.02021516731907,181.6982879638672,16006100,0.0,0.0,GOOGL
2024-07-02,180.7649192250836,184.2600759255339,180.27837266146466,183.93240356445312,17372500,0.0,0.0,GOOGL
2024-07-03,183.545146815405,184.77638393795382,182.7011409192061,184.50830078125,10242100,0.0,0.0,GOOGL
