date,open,high,low,close,volume,Dividends,Stock Splits,ticker
2026-02-23,208.10000610351562,208.42999267578125,203.11000061035156,205.27000427246094,53581500,0.0,0.0,AMZN
2026-02-24,205.47000122070312,210.36000061035156,203.25,208.55999755859375,41137200,0.0,0.0,AMZN
2026-02-25,210.4600067138672,211.58999633789062,208.92999267578125,210.63999938964844,41346400,0.0,0.0,AMZN
2026-02-26,210.72999572753906,211.0500030517578,205.35000610351562,207.9199981689453,47756800,0.0,0.0,AMZN
2026-02-27,206.8300018310547,210.3300018310547,205.1999969482422,210.0,57422800,0.0,0.0,AMZN
2026-03-02,204.5500030517578,209.72999572753906,203.4600067138672,208.38999938964844,46001000,0.0,0.0,AMZN
2026-03-03,203.10000610351562,209.17999267578125,202.47999572753906,208.72999572753906,43184900,0.0,0.0,AMZN
2026-03-04,210.47000122070312,217.5399932861328,210.14999389648438,216.82000732421875,54731100,0.0,0.0,AMZN
2026-03-05,215.97999572753906,220.47000122070312,215.58999633789062,218.94000244140625,60943400,0.0,0.0,AMZN
2026-03-06,214.99000549316406,217.32000732421875,212.52999877929688,213.2100067138672,51152700,0.0,0.0,AMZN
2026-03-09,210.4499969482422,213.82000732421875,207.11000061035156,213.49000549316406,54642900,0.0,0.0,AMZN
2026-03-10,214.19000244140625,215.64999389648438,212.42999267578125,214.3300018310547,35678800,0.0,0.0,AMZN
2026-03-11,215.7100067138672,217.0,211.35000610351562,212.64999389648438,34199300,0.0,0.0,AMZN
2026-03-12,210.38999938964844,211.7100067138672,208.14999389648438,209.52999877929688,44349500,0.0,0.0,AMZN
2026-03-13,209.61000061035156,210.55999755859375,206.22000122070312,207.6699981689453,35662100,0.0,0.0,AMZN
2026-03-16,208.35000610351562,212.72000122070312,207.4499969482422,211.74000549316406,42209300,0.0,0.0,AMZN
2026-03-17,212.82000732421875,215.6999969482422,212.42999267578125,215.1999969482422,44969900,0.0,0.0,AMZN
2026-03-18,213.92999267578125,215.13999938964844,208.8300018310547,209.8699951171875,37846600,0.0,0.0,AMZN
