date,open,high,low,close,volume,Dividends,Stock Splits,ticker
2025-05-23,168.47580548761593,169.3727046333075,167.30985028367255,167.88784790039062,35211400,0.0,0.0,GOOGL
2025-05-27,169.57202886061165,172.5716225630013,169.4125780788469,172.30255126953125,37995700,0.0,0.0,GOOGL
2025-05-28,172.56165823831284,174.66436785084326,171.31597754856884,171.76441955566406,34784000,0.0,0.0,GOOGL
2025-05-29,173.39874848808273,173.81729536660228,170.04039828273065,171.26614379882812,29317300,0.0,0.0,GOOGL
2025-05-30,170.7579241400477,171.61495310854446,166.86143108525064,171.14657592773438,52639900,0.0,0.0,GOOGL
2025-06-02,167.2600172613062,169.2830012834345,166.81157529888503,168.44590759277344,38612300,0.0,0.0,GOOGL
2025-06-03,166.91126012169556,167.89782954141205,164.708889870391,165.60577392578125,45084900,0.0,0.0,GOOGL
2025-06-04,166.1638436483944,167.63872532387313,165.78515185366567,167.4693145751953,26900800,0.0,0.0,GOOGL
2025-06-05,169.7513830642687,170.339340657981,167.0108857444217,167.62875366210938,36379100,0.0,0.0,GOOGL
2025-06-06,170.23969140570108,173.89700773798458,170.23969140570108,173.079833984375,35731800,0.0,0.0,GOOGL
2025-06-09,174.14743750903665,176.07310468622353,173.97782168090652,175.69395446777344,28935900,0.21,0.0,GOOGL
2025-06-10,175.8037071645682,180.70266778284787,174.51661519040564,178.1983184814453,61766100,0.0,0.0,GOOGL
2025-06-11,179.3656814209572,179.96432281914957,176.3524694759701,176.9511260986328,31646800,0.0,0.0,GOOGL
2025-06-12,175.78375628436552,176.32255032681226,174.3569797237004,175.30484008789062,20941900,0.0,0.0,GOOGL
2025-06-13,172.05216517338764,176.7316192634362,172.00227458420645,174.2771453857422,27663100,0.0,0.0,GOOGL
2025-06-16,174.33701609632743,176.5420523549515,174.25719419482596,176.3724365234375,27389200,0.0,0.0,GOOGL
2025-06-17,175.30482253964252,176.96109261622635,174.18734645157147,175.55426025390625,24973000,0.0,0.0,GOOGL
2025-06-18,175.6141436330853,176.16290971424257,172.81046582918458,172.93020629882812,28707500,0.0,0.0,GOOGL
2025-06-20,173.55878574385125,173.94790803011588,165.08788938336605,166.26522827148438,75659900,0.0,0.0,GOOGL
2025-06-23,165.8960542954959,166.9636398925432,161.63565348702906,164.8184814453125,57671000,0.0,0.0,GOOGL
2025-06-24,166.54458452923419,167.84166379185558,165.756367987998,166.39492797851562,40524300,0.0,0.0,GOOGL
2025-06-25,167.25299905707695,171.97235685648238,167.17317715297744,170.29612731933594,35479000,0.0,0.0,GOOGL
2025-06-26,172.04218458564608,173.29936049404486,169.55779452756443,173.14968872070312,31796700,0.0,0.0,GOOGL
2025-06-27,173.14968136313868,178.27812028762878,171.34375470263782,178.1284637451172,108140200,0.0,0.0,GOOGL
2025-06-30,180.3734186271616,180.82240351749414,174.1873656755976,175.83364868164062,63378900,0.0,0.0,GOOGL
2025-07-01,175.344768335238,175.6939720547657,173.13973189988045,175.4445343017578,35904500,0.0,0.0,GOOGL
2025-07-02,175.14518633422566,178.4577266308603,174.67625741761273,178.23822021484375,29128900,0.0,0.0,GOOGL
2025-07-03,178.09853847776557,179.265905222364,176.65180269468908,179.126220703125,21689700,0.0,0.0,GOOGL
2025-07-07,178.65727862884938,178.89674433224096,175.28487562232132,176.3923797607422,34175600,0.0,0.0,GOOGL
2025-07-08,177.4500058972594,177.54977185383785,172.42133277200756,173.9678497314453,40442500,0.0,0.0,GOOGL
2025-07-09,174.85586430994886,179.03644347316074,172.3814460707259,176.2227783203125,43025600,0.0,0.0,GOOGL
2025-07-10,175.2349902719471,178.02868052999747,173.98780168372105,177.2205047607422,29252400,0.0,0.0,GOOGL
2025-07-11,176.39238193299045,181.0219456842772,176.08308157759498,179.7847442626953,34282900,0.0,0.0,GOOGL
2025-07-14,180.60289104600895,183.2569121837853,179.27588047712075,181.1516571044922,32536600,0.0,0.0,GOOGL
2025-07-15,182.39885886185957,183.8056914333515,181.19158867102598,181.59068298339844,33448300,0.0,0.0,GOOGL
2025-07-16,182.82788394956327,183.91542879782378,181.62059863833602,182.55848693847656,33104200,0.0,0.0,GOOGL
2025-07-17,181.73036564766983,183.64604573142148,180.07409534184728,183.16712951660156,31992600,0.0,0.0,GOOGL
2025-07-18,184.98301522964096,186.00072543502688,183.2968289565469,184.64378356933594,34014500,0.0,0.0,GOOGL
2025-07-21,185.83110772544197,189.86201471908177,185.73132654425748,189.67245483398438,45803100,0.0,0.0,GOOGL
2025-07-22,191.0693117786785,191.21896833519165,187.03840453704987,190.90966796875,44660200,0.0,0.0,GOOGL
2025-07-23,191.06930248089483,192.09698471753413,188.7545130229886,189.80215454101562,58681900,0.0,0.0,GOOGL
2025-07-24,196.58687870624138,197.50480780114538,190.57044138213487,191.73780822753906,74881700,0.0,0.0,GOOGL
2025-07-25,191.54821586623893,193.8929365997576,190.82983399147875,192.74551391601562,39785900,0.0,0.0,GOOGL
2025-07-28,193.2144667106556,193.61357622809174,190.41078895772904,192.14688110351562,38139500,0.0,0.0,GOOGL
2025-07-29,191.9971978721824,195.47935398479527,191.64799419278697,195.3097381591797,41389200,0.0,0.0,GOOGL
2025-07-30,195.1600963397073,197.155598285003,194.2521393007246,196.08799743652344,32445400,0.0,0.0,GOOGL
2025-07-31,195.26984291287636,195.54921195775628,190.66022322341527,191.46839904785156,51329200,0.0,0.0,GOOGL
2025-08-01,188.60486968944682,190.40082452841267,187.39759950913643,188.70465087890625,34832200,0.0,0.0,GOOGL
2025-08-04,189.86201672672937,194.830827292421,189.69240089649873,194.60133361816406,31547400,0.0,0.0,GOOGL
2025-08-05,194.2720962985156,197.4150057356091,193.45393320281906,194.232177734375,31602300,0.0,0.0,GOOGL
2025-08-06,194.0625664055758,196.18778087351924,193.23443126184418,195.64898681640625,21562900,0.0,0.0,GOOGL
2025-08-07,196.6167969951023,197.09571318148866,193.8929412029117,196.07801818847656,26321800,0.0,0.0,GOOGL
2025-08-08,196.7764442791972,202.15432130991044,196.72655368662487,200.9669952392578,39161800,0.0,0.0,GOOGL
2025-08-11,200.48808049350347,201.02685931355308,198.62229106869012,200.54794311523438,25832400,0.0,0.0,GOOGL
2025-08-12,200.91710457512625,204.04006993048975,200.1388600495838,202.88267517089844,30397900,0.0,0.0,GOOGL
2025-08-13,203.6709007567403,204.06999503609887,197.06577929471834,201.5057830810547,28342900,0.0,0.0,GOOGL
2025-08-14,201.0468177297292,203.98020797768137,200.77742070862897,202.48358154296875,25230400,0.0,0.0,GOOGL
2025-08-15,203.39154613868575,205.97571755828142,200.82731877734264,203.44142150878906,34931400,0.0,0.0,GOOGL
2025-08-18,203.74073522255918,204.80833601681928,202.0345896716843,203.0423126220703,18526600,0.0,0.0,GOOGL
2025-08-19,202.57337657986534,202.98245812812408,199.51028904350812,201.11666870117188,24240200,0.0,0.0,GOOGL
2025-08-20,200.278551944333,200.8273180336849,196.15785070859312,198.87173461914062,28955500,0.0,0.0,GOOGL
2025-08-21,199.3007354736328,202.02459107482636,198.98144788878304,199.3007354736328,19774600,0.0,0.0,GOOGL
2025-08-22,202.27403645691825,208.07096677186306,200.84725997228378,205.62648010253906,42827000,0.0,0.0,GOOGL
2025-08-25,205.96572314134983,210.04653613391585,204.81831562838462,208.02110290527344,29928900,0.0,0.0,GOOGL
2025-08-26,207.0432962842493,207.38254318133843,205.23736948208096,206.67413330078125,28464100,0.0,0.0,GOOGL
2025-08-27,205.2373711930947,208.4401585010209,205.18748059977113,207.01336669921875,23022900,0.0,0.0,GOOGL
2025-08-28,206.78389053195886,211.742714118765,206.43467159929352,211.1640167236328,32339300,0.0,0.0,GOOGL
2025-08-29,210.0365560843286,214.16724458693432,209.72725571237183,212.43116760253906,39728400,0.0,0.0,GOOGL
2025-09-02,207.97120545801465,211.20390871469678,205.73623790289355,210.87466430664062,47523000,0.0,0.0,GOOGL
2025-09-03,225.7012317514145,230.78975207064033,224.28441211377313,230.14122009277344,103336100,0.0,0.0,GOOGL
2025-09-04,229.1335081222656,231.847392025426,225.60147632632095,231.77755737304688,51684200,0.0,0.0,GOOGL
2025-09-05,231.677760445174,235.22975128240526,231.37843212445287,234.47146606445312,46588900,0.0,0.0,GOOGL
2025-09-08,235.15054099905157,237.8069358559837,233.3529799966882,233.72247314453125,32474700,0.21,0.0,GOOGL
2025-09-09,233.85231685973005,240.14377315813266,232.91358965088386,239.30491638183594,38061000,0.0,0.0,GOOGL
2025-09-10,238.5758820575914,241.33214736167037,237.5273187664355,238.84552001953125,35141100,0.0,0.0,GOOGL
2025-09-11,239.55457404217233,241.9213539288796,235.92949376965038,240.0438995361328,30599300,0.0,0.0,GOOGL
2025-09-12,240.04388783032,241.75157459718335,237.67710805902945,240.4733123779297,26771600,0.0,0.0,GOOGL
2025-09-15,244.32807821701437,252.06756394348793,244.32807821701437,251.26864624023438,58383800,0.0,0.0,GOOGL
2025-09-16,251.73800966841424,252.696698721273,249.13154999644232,250.8192596435547,34109700,0.0,0.0,GOOGL
2025-09-17,250.87917693990602,251.25866627901078,245.94587648389523,249.19146728515625,34108000,0.0,0.0,GOOGL
2025-09-18,251.338548569648,253.64542748570952,249.46110945180462,251.68807983398438,31239500,0.0,0.0,GOOGL
2025-09-19,252.90642848071656,255.65269769422878,251.4683796180924,254.3744354248047,55571400,0.0,0.0,GOOGL
2025-09-22,254.0848093772248,255.4329839373953,249.96042287972912,252.18739318847656,32290500,0.0,0.0,GOOGL
2025-09-23,252.69670571321294,254.01492224497756,250.1401811840686,251.31858825683594,26628000,0.0,0.0,GOOGL
2025-09-24,251.31857470864836,252.00764101873446,246.10565550148698,246.80470275878906,28201000,0.0,0.0,GOOGL
2025-09-25,244.06842931794486,246.1556055061487,240.41340622781078,245.45654296875,31020400,0.0,0.0,GOOGL
2025-09-26,246.73481561544992,249.08161830530747,245.63630185383965,246.2055206298828,18503200,0.0,0.0,GOOGL
2025-09-29,247.51375020937843,250.80926093832198,242.4406403715287,243.71890258789062,32505800,0.0,0.0,GOOGL
2025-09-30,242.48058753408858,242.9599320717839,238.92541967317948,242.77020263671875,34724300,0.0,0.0,GOOGL
2025-10-01,240.42338523813993,245.96585884887978,238.2862890899911,244.5677490234375,31658200,0.0,0.0,GOOGL
2025-10-02,244.81739828037135,246.47514981131818,241.97127402542458,245.35667419433594,25483300,0.0,0.0,GOOGL
2025-10-03,244.15831699237452,245.96585900937905,241.3321544964398,245.01715087890625,30249600,0.0,0.0,GOOGL
2025-10-06,244.44791178946252,250.97904766602093,244.24818617214953,250.09024047851562,28894700,0.0,0.0,GOOGL
2025-10-07,247.93317917084852,250.1002333278666,245.18691006468788,245.42657470703125,23181300,0.0,0.0,GOOGL
2025-10-08,244.62768203424937,245.67624536262252,243.48922922331397,244.2881317138672,21307100,0.0,0.0,GOOGL
2025-10-09,244.13833003954065,244.42792989328805,238.82554034163272,241.2023162841797,27892100,0.0,0.0,GOOGL
