date,open,high,low,close,volume,Dividends,Stock Splits,ticker
2024-05-23,426.27078715380964,426.8910441613392,418.83761804177703,420.3931579589844,17211700,0.0,0.0,MSFT
2024-05-24,420.58022514023406,424.39034103334086,417.84324041258554,423.5042724609375,11855300,0.0,0.0,MSFT
2024-05-28,422.98250841239616,424.1540984130066,419.99939161518114,423.6618347167969,15718000,0.0,0.0,MSFT
2024-05-29,419.1034664398289,424.27223522977,419.1034664398289,422.5296325683594,15517100,0.0,0.0,MSFT
2024-05-30,417.7349403773821,417.7349403773821,407.8305976923989,408.25396728515625,28394500,0.0,0.0,MSFT
2024-05-31,410.3018082986228,410.3018082986228,398.25120211572766,408.7068786621094,47995300,0.0,0.0,MSFT
2024-06-03,409.1006748520027,409.9867435149057,402.5929630717942,407.12176513671875,17484700,0.0,0.0,MSFT
2024-06-04,406.04863004617806,409.99659455099004,403.341179685009,409.63232421875,14348900,0.0,0.0,MSFT
2024-06-05,411.3453811328119,417.5183569725432,409.8587351784671,417.449462890625,16988000,0.0,0.0,MSFT
2024-06-06,417.449510532203,418.7293842506858,414.0725584079514,417.95159912109375,14861300,0.0,0.0,MSFT
2024-06-07,419.60557647742206,419.6843254469309,416.45507688003147,417.29193115234375,13621700,0.0,0.0,MSFT
2024-06-10,418.12879037210877,421.45646767892094,417.33132559781046,421.2497253417969,13982900,0.0,0.0,MSFT
2024-06-11,418.8967715885156,426.1231998343133,418.67031944713443,425.9853515625,14551100,0.0,0.0,MSFT
2024-06-12,428.58444890305617,436.5394165910894,426.54647009815636,434.2356262207031,22366200,0.0,0.0,MSFT
2024-06-13,434.02890334988575,436.5296113185569,432.57179200487434,434.7475891113281,15960600,0.0,0.0,MSFT
2024-06-14,431.4986893853765,436.2835084137765,429.9628289677156,435.7223205566406,13582000,0.0,0.0,MSFT
2024-06-17,435.7419888452348,443.96279884211964,433.90092737019853,441.43255615234375,20790000,0.0,0.0,MSFT
2024-06-18,442.75181252074634,443.1751821409538,438.00641324566425,439.4339599609375,17112500,0.0,0.0,MSFT
2024-06-20,439.3945864733692,439.62103860195157,434.442414629224,438.80389404296875,19877400,0.0,0.0,MSFT
2024-06-21,440.45787995794916,443.6083496603445,439.60134591371855,442.82073974609375,34187100,0.0,0.0,MSFT
2024-06-24,442.8404263927747,445.74479433203504,439.5028940256874,440.743408203125,15913700,0.0,0.0,MSFT
2024-06-25,441.3143898379412,444.4353547941903,439.83759879553867,443.9726257324219,16413400,0.0,0.0,MSFT
2024-06-26,442.05279974277113,446.5816317625772,441.25533495755695,445.1639099121094,16507000,0.0,0.0,MSFT
2024-06-27,445.1835541624589,449.11183858084996,444.7798943577927,445.84320068359375,14806300,0.0,0.0,MSFT
2024-06-28,446.059848949654,448.3341049043701,439.50289267468526,440.0345458984375,28362300,0.0,0.0,MSFT
